Iris_Position,Ratio
center,0.542124712814341
center,0.5437134658784791
center,0.5352673688789674
center,0.5234239225902136
center,0.5252257314388902
center,0.542124712814341
left,0.6180461412111269
left,0.5987668887749352
left,0.5757558163546319
left,0.5987668887749352
left,0.603812122166153
left,0.5894055004244835
left,0.5778311941119905
center,0.5373615137407072
center,0.5667053726367595
center,0.5428053018875356
center,0.5423261445466405
center,0.4767853427262092
center,0.5254307295855036
left,0.5852057359806528
left,0.6152244594482623
left,0.575710399014318
left,0.5925141022569763
left,0.5804966154792618
left,0.576560999826512
left,0.5984814600998536
left,0.5815017883866801
left,0.5830063233422044
left,0.5830063233422044
center,0.5663889654442353
center,0.5663889654442353
center,0.5481953435729147
left,0.593413917785058
center,0.5293131528623707
center,0.539445503622757
center,0.5126887040123478
center,0.524758313062988
center,0.5213445137227217
